site_id,x_m,y_m,objectid,city,state,latdec,londec,distance_m
0,0.0,0.0,22598,Knoxville,TN,35.9606388889,-83.9846388889,0.0
1,-3741.571699999273,-611.2265999987721,13825,KNOXVILLE,TN,35.9561944444,-84.01825,3791.168255667573
2,-2752.0650999993086,-3552.2735000029206,13808,BEARDEN,TN,35.9348055556,-84.0093611111,4493.607607864443
3,-1453.3377000000328,-4506.9875999987125,22601,Knoxville,TN,35.9278611111,-83.9976944444,4735.5176799145775
4,5627.818700000644,-267.4158999994397,13804,KNOXVILLE,TN,35.9586944444,-83.9340833333,5634.168490882168
5,4360.013399999589,-4495.531700000167,13845,KNOXVILLE,TN,35.9279444444,-83.9454722222,6262.549170576018
6,6462.714999999851,229.21890000347048,22600,KNOXVILLE,TN,35.9623055556,-83.9265833333,6466.778678394822
7,-5565.974500000477,-4239.676300004125,13818,KNOXVILLE,TN,35.9298055556,-84.0346388889,6996.779778117375
8,7390.377299999818,496.646899998188,13812,KNOXVILLE,TN,35.96425,-83.91825,7407.046292526489
9,4885.688799999654,6075.934500001371,22589,KNOXVILLE,TN,36.0048055556,-83.94075,7796.597661720719
10,-5535.052400000393,6419.957299999893,22610,KNOXVILLE,TN,36.0073055556,-84.0343611111,8476.594646706426
11,-3030.3639000002295,8216.696699999273,13822,KNOXVILLE,TN,36.0203611111,-84.0118611111,8757.694332768388
12,6184.416200000793,6993.35229999572,13814,KNOXVILLE,TN,36.0114722222,-83.9290833333,9335.62960526432
13,-9369.390399999917,687.6709999963641,22603,Knoxville,TN,35.9656388889,-84.0688055556,9394.592480349886
14,-9431.234600000083,649.4658999964595,13840,KNOXVILLE,TN,35.9653611111,-84.0693611111,9453.57033271012
15,8803.51649999991,4038.7800999954343,13829,KNOXVILLE,TN,35.99,-83.9055555556,9685.744548659632
16,-8348.961799999699,-5079.776000000536,13811,KNOXVILLE,TN,35.9236944444,-84.0596388889,9772.885313357345
17,9338.468399999663,3935.5947999954224,22611,KNOXVILLE,TN,35.98925,-83.90075,10133.89848417396
18,4876.412200000137,-9222.046400003135,22612,KNOXVILLE,TN,35.8935555556,-83.9408333333,10431.947840557916
19,-7143.0007000006735,-8554.045100003481,22602,Knoxville,TN,35.8984166667,-84.0488055556,11144.242754584257
20,5565.974600000307,-9660.996500000358,13810,CRENSHAW,TN,35.8903611111,-83.9346388889,11149.660381413763
