site_index,x_m,y_m
0,0.0,0.0
1,-3741.571699999273,-611.2265999987721
2,-2752.0650999993086,-3552.2735000029206
3,-1453.3377000000328,-4506.9875999987125
4,5627.818700000644,-267.4158999994397
5,4360.013399999589,-4495.531700000167
6,6462.714999999851,229.21890000347048
7,-5565.974500000477,-4239.676300004125
8,7390.377299999818,496.646899998188
9,4885.688799999654,6075.934500001371
10,-5535.052400000393,6419.957299999893
11,-3030.3639000002295,8216.696699999273
12,6184.416200000793,6993.35229999572
13,-9369.390399999917,687.6709999963641
14,-9431.234600000083,649.4658999964595
15,8803.51649999991,4038.7800999954343
16,-8348.961799999699,-5079.776000000536
17,9338.468399999663,3935.5947999954224
18,4876.412200000137,-9222.046400003135
19,-7143.0007000006735,-8554.045100003481
20,5565.974600000307,-9660.996500000358
